gene	gene_lfc_positive	fdr_gene_positive
srlE	0.4253838436884263	0.004119439613734831
pgpC	0.4632037973487093	0.004158545022453011
ytfB	0.5144988733663749	0.004230654576889137
yjcS	0.5706279901271412	0.004230654576889137
trkH	0.3952770833164735	0.004231987593244948
mhpF	0.3304392688591689	0.004318933236498531
hflC	0.38219336700712825	0.004324626818831978
frvX	0.5247276836653878	0.004443023819864938
nhaA	0.5132302657287002	0.004491387702165698
yegT	0.5171554001114577	0.004513902733913944
deoA	0.5601184683196946	0.004539932434436005
purH	0.4470859839002159	0.004680906621485842
phnL	0.3770426729124318	0.00470356779087146
dcm	0.4666106137795934	0.00470356779087146
sfmA	0.429860114985788	0.0048025619642162965
aqpZ	0.34862274340068405	0.00494029728573366
ykiA	0.43604946705888514	0.004979323744220781
abgR	0.46337517526907285	0.0050819827249316525
ydbK	0.47759010331256724	0.005160838686110336
lhr	0.5000173278731667	0.0051884402557720736
sucC	0.5902048376918307	0.00524087069934627
yjbB	0.47517604745455294	0.005257449177922437
ypjF	0.37522278438123524	0.005257449177922437
dinG	0.6477183140790043	0.005261504963046239
yaiP	0.44716180799135913	0.005341970850692592
ydgC	0.5197876390762775	0.0053748076773514715
yidQ	0.6065825214683348	0.005383998568757194
mqo	0.3943143495667811	0.0055448312380812015
artI	0.6976138521201332	0.005665272959350114
pgaB	0.3999456864708328	0.005665272959350114
phnD	0.4316828085788837	0.005665272959350114
betT	0.43586586789653636	0.005703285283748383
rhaD	0.3791229769751688	0.005814322640921978
dadA	0.43346261897589056	0.005914836584101271
yahI	0.45857416604268725	0.006033054295743715
yjeJ	0.44375925314889175	0.00606301803523722
tbpA	0.4665882704569197	0.00611840701113039
dinF	0.49132919402064934	0.00611840701113039
kefF	0.543190007423557	0.006195686435920968
rutA	0.538752621987185	0.006451299042889946
aer	0.3867466531785295	0.00645779076791937
insI-1	0.39007466644940764	0.006553272936318425
mrcB	0.4367363605059149	0.006553272936318425
sfmF	0.4749981027389268	0.006604887688517268
insI-3	0.39007466644940764	0.006751226370100967
insI-2	0.39007466644940764	0.006751226370100967
vsr	0.4661017053731235	0.006751226370100967
yhfU	0.49901974477428473	0.006881792061016929
phnF	0.4571248288060393	0.006998232172060183
nrfE	0.4427468928177574	0.007007452249523577
lacZ	0.5084643232421941	0.00703030619004946
yhjE	0.3533066774390833	0.0071847020652092
aroP	0.40030798296722775	0.00748630720787296
hybA	0.3840432841565726	0.007531846211994334
glgP	0.5139536717964232	0.007531846211994334
xanP	0.6456421778183966	0.007669452540795503
proA	0.40349044435812553	0.007669452540795503
mdtI	0.4653491513508698	0.007669452540795503
bdcA	0.3821154636525887	0.007669452540795503
astE	0.5900383863628578	0.0077910811979912354
recG	0.499433858130972	0.0077910811979912354
cvrA	0.42215022283474096	0.00785596359815161
xdhD	0.42746977814473136	0.007866521174039257
ompR	0.5033558318924172	0.007922228001147122
treC	0.5827694518923943	0.00796393902870711
djlA	0.4252707316916571	0.008026137939391867
flhC	0.5292763333824433	0.008170692416505785
pstB	0.4578588889642229	0.008196290272727145
oppD	0.4129742657948826	0.008602586549026115
guaA	0.4300319909575725	0.008603188503921078
yicJ	0.5135297385640201	0.008603188503921078
paaJ	0.5025716161308207	0.008701396322381313
rpoH	0.5042903120667238	0.008780303405471392
yajQ	0.39356774389197313	0.00880565599600093
murG	0.499167110252946	0.008841187852829323
thiP	0.5504087447072735	0.008981675340914354
rdgC	0.42794449537550894	0.009318446053196865
yjeI	0.5327078413992429	0.009483341809395076
ugpB	0.43413296562246606	0.009483341809395076
mepM	0.4888048003124997	0.009483341809395076
emrD	0.45287573043302903	0.009538078462434159
potD	0.5006747595554066	0.009558202055965938
adiA	0.6297572311387756	0.009558202055965938
ybeQ	0.6261994654313475	0.009636545654024555
glpB	0.4586503665138466	0.009896066108533885
hslV	0.34261407509154	0.010060587745031106
nanM	0.4054157470276139	0.010639123615815463
dacD	0.41671679414840174	0.01067301447367584
yfaU	0.5482697580505838	0.010948962633505113
eutA	0.4319333593594083	0.010948962633505113
hslU	0.32442483398358646	0.010961206150922937
norW	0.5619480070309266	0.011122129475188343
chbB	0.6831841277924404	0.011254924388034706
yfiC	0.4532948277795051	0.011254924388034706
tnaA	0.41124703356261594	0.011332413943164487
intB	0.5278708059847634	0.011378914748220337
nupX	0.501579649398909	0.011575690789798646
ubiI	0.35246935071907476	0.011663377026482166
malX	0.4271047211838571	0.011676347161742791
folC	0.5247734417739324	0.011676347161742791
mmuP	0.4585115641131498	0.011765322243040294
arnE	0.469366073604385	0.011785838550535504
treR	0.5042446762331976	0.01214279644464172
yecD	0.3388067776003833	0.01224233055539714
gpmM	0.4577749875065144	0.012256364740487068
araE	0.4826408712747511	0.01231633903463377
yahG	0.6136802985398144	0.01236373537523522
abgB	0.414059299979106	0.012412114487444363
fliL	0.5484140897337985	0.01242684484148061
fliI	0.3337418556937153	0.012638521234786874
gcd	0.4538089309989852	0.013148618969515842
yehX	0.5772938978614559	0.01354030339575914
fadI	0.54614198500204	0.013619297010016546
fixA	0.39105636818941664	0.013619297010016546
yhbV	0.4873152009804157	0.013664596136934513
priA	0.49144246912864437	0.013678308016697926
yqeF	0.5178988267005622	0.01386943679886165
prpR	0.4346730617156186	0.013913486432891368
glvC	0.46446289506663285	0.014167652358837525
rsgA	0.38588989797723694	0.014285727482924804
dnaK	0.5421315859911182	0.014285727482924804
yigL	0.42738672248891324	0.01437091430242239
opgG	0.5078552326924047	0.015017581447333912
zitB	0.48665976714277676	0.015120362645409651
ybaS	0.46736622802851063	0.01576375043640826
yidJ	0.4853376002557995	0.01576375043640826
ddpX	0.49836983512575533	0.01576375043640826
uvrA	0.4988545238885467	0.01612956822217567
insD	0.3847960573860294	0.016175069261160628
hypD	0.5000165954013536	0.016175069261160628
ydeO	0.41361299806846563	0.016199544774491943
insCD-3	0.347137108285551	0.016199544774491943
insCD-2	0.347137108285551	0.016199544774491943
insCD-6	0.347137108285551	0.016199544774491943
insCD-5	0.347137108285551	0.016199544774491943
insCD-4	0.347137108285551	0.016199544774491943
yeiW	0.5204734415288055	0.016199544774491943
xseA	0.37793101749897673	0.016199544774491943
citG	0.34760151164624475	0.016199544774491943
ccmH	0.35862438255700974	0.016199544774491943
insCD-1	0.347137108285551	0.016199544774491943
scpA	0.43412690197038284	0.016199544774491943
copA	0.4224056617325065	0.016227938503485036
rimM	0.6174916441863845	0.016339342397980513
yagH	0.4336928295489131	0.016403274362047495
glcB	0.46093835330510086	0.016411228385116536
yceI	0.3068887204067062	0.016437102454111695
ycaI	0.42314790573080446	0.016525297056784388
pgl	0.5540135923615618	0.016944892226401866
smrA	0.39124840236771	0.016944892226401866
gabP	0.41727032266640435	0.01701386292945895
codB	0.3684799748151378	0.017373902364090435
ebgA	0.45425495825644213	0.017411972107453325
treF	0.4616602653438785	0.01760120412313126
elfG	0.4456370016975138	0.01762833837648835
yedW	0.3844731013566757	0.017653363395769946
ydhB	0.5957209639247865	0.01767027884792435
flhA	0.37656735844988365	0.01795812272947655
araC	0.4471576130322494	0.018287576637989376
yfbU	0.509279184815977	0.018358162120461076
tfaD	0.48973496827452634	0.018581146802841602
ldtA	0.4249421348080763	0.018581146802841602
sfmD	0.5670902688643494	0.0187849513552475
ybhA	0.44028083983197996	0.01884946689431368
ymjA	0.474643913309192	0.019511656662052793
nudL	0.48300608307866266	0.01956891592679216
tehA	0.5156957920512144	0.01956891592679216
pspA	0.5281280306706524	0.019638201330639874
yijO	0.4226242620876253	0.019940230356566706
rhlB	0.3895188971541715	0.020038759173817082
ydgI	0.3729631749292345	0.020109782130704645
ppsA	0.43916723358224785	0.020223623868163322
purA	0.49087923025337477	0.020242362906592145
hisI	0.5859824769537141	0.020242362906592145
dnaE	0.4077473999188453	0.020369334640542934
hsdS	0.711601762766997	0.020389018687331437
yjgH	0.5081363732774153	0.020389018687331437
uvrD	0.39496175571951103	0.02049529617002846
ydfG	0.5047819030407992	0.020667890310999526
ycjU	0.4569517721862913	0.020676765737691588
ampC	0.5113448250294889	0.020676765737691588
moeA	0.4574258056572619	0.02102422497148735
kdpD	0.4748291123426598	0.02102422497148735
ansP	0.5630139091456771	0.021853113726463258
gspE	0.3964953884796767	0.02191543823330661
yiaG	0.4586234720566874	0.022247575226873966
lgt	0.2783790448167631	0.022397040759876082
coaE	0.42065787436423674	0.02241502068919637
entA	0.47799717229478783	0.022525089822635555
rep	0.4419271876581103	0.02288536565521827
betA	0.6271713953433968	0.023162646937516136
fxsA	0.46294903716968755	0.023214117447028483
yfeR	0.3871002052726256	0.02331490104647892
ydiQ	0.457718189846347	0.023321069866517486
yhiM	0.43666245136727677	0.023321069866517486
ygiM	0.5599949215357872	0.02345368204377178
fixB	0.501297839809526	0.02345368204377178
dadX	0.3945424358752053	0.023733433359921292
norV	0.39055077949158934	0.023990995431388863
nanT	0.5758713355122689	0.02426650742898765
uraA	0.37672322083526416	0.024474810843562372
gsk	0.3577256520947978	0.024474810843562372
iadA	0.5617758104967939	0.024612927423404225
puuB	0.4149082209696512	0.025191209637537106
ynbC	0.4199419099715103	0.025205708512962673
gadX	0.4747079371441766	0.026338135376758342
bcp	0.36211125529657384	0.026605627281675395
mdtB	0.4524958303411241	0.026716436415701213
ycjW	0.5108242092877868	0.026723904540568083
ldtC	0.6503143168392046	0.0268240613108194
yniB	0.34125932331096265	0.027307731595779813
yggC	0.47267209322224635	0.027419497564378562
ydcU	0.3620105430729068	0.02747003833869456
mhpD	0.47289995874079893	0.02747003833869456
yfaL	0.4499745700582876	0.02748294064894359
bcsF	0.3816282066615069	0.02748294064894359
php	0.44464573289539433	0.027665804013525256
yajL	0.5789440799475994	0.02812725421027991
rlmD	0.6297524475414313	0.02841286580909457
metG	0.48868592244751313	0.028437594984647208
ycjR	0.3746777934488023	0.028757359341671614
tonB	0.47962397356144815	0.028757359341671614
caiA	0.4487806438440698	0.028935728228147082
mlc	0.5851902480007833	0.02981000697074825
flgD	0.4291542398552972	0.02981000697074825
hyfG	0.40957470841040927	0.02981000697074825
torZ	0.3793235380346294	0.029853285809186003
mngA	0.5243853123221085	0.029853285809186003
gltP	0.4649798908311524	0.029940407795707613
galS	0.46453322877400016	0.03006747107373457
proX	0.400961755475499	0.03029459022731919
tauB	0.42630401069839857	0.030342728592251313
mscM	0.5816389993960074	0.030342728592251313
yjiY	0.43664941394631573	0.030429971547045197
mhpB	0.3839986263984673	0.030429971547045197
metE	0.5699038268127813	0.030621321930158957
osmY	0.5371841439840521	0.030691860947081293
hycC	0.43175907055450174	0.031243281689637355
hyaD	0.4498411968594116	0.031450813284964546
rsxG	0.6287341995169027	0.03171922537145681
rplR	0.3584709821653834	0.031748293151293606
pepP	0.42273901314513895	0.031748293151293606
yggN	0.4467014595424162	0.03209234277977927
ybbP	0.40590345889331	0.03210638856010289
hypA	0.48852572513970016	0.03219110176196235
ynfM	0.45573635194764184	0.03219110176196235
otsA	0.4141875848755944	0.03250773139707369
potE	0.4096866126027191	0.032604333592880265
baeS	0.4480951191777951	0.03298096879642613
yqhD	0.42511875117062553	0.03298096879642613
rbbA	0.38917111636252105	0.03298530250935304
ompG	0.4202559880750669	0.03502364155753925
garD	0.3986954855130877	0.035345884293141755
yghU	0.4070722137077002	0.035395839179506026
hofQ	0.37021804899783595	0.03560865053413169
flgG	0.45948420644266236	0.03572941548885997
ldtD	0.37954252343981926	0.03581637461056168
argA	0.3926466722857336	0.03584080896583866
bcsZ	0.5369226567949057	0.03586565782840934
actP	0.4511635131523873	0.03586565782840934
ybbW	0.38457902868745497	0.03621706783369729
ynbD	0.4481584297167752	0.03621955750491365
pheP	0.526198643991212	0.03622128474523277
aspA	0.42883376241386095	0.03631509169212876
ilvB	0.466680599652828	0.03637189563115855
slt	0.46178376023866935	0.03656272239125035
yebE	0.5016644804609898	0.03656272239125035
yfjY	0.5032580504398669	0.03656272239125035
yegE	0.4893437400085402	0.036706649535302546
speE	0.6301096439040954	0.03674653298838216
yhdX	0.4174450325886605	0.03732597465987047
ybhL	0.48134194914170597	0.03732597465987047
tsr	0.7187165468615415	0.03751595408386599
murP	0.4123356711533166	0.037807742174013226
yqcA	0.5553713791816046	0.03782475839152736
fryA	0.5196337520393435	0.03867331151886646
dicC	0.42389149612481347	0.03867331151886646
gudP	0.4514694733711792	0.03867331151886646
ung	0.7505366348119964	0.03887718293454029
ybaT	0.46350519026429193	0.03887779621217561
gltT	0.5489825466671787	0.03899282595350405
gltW	0.5489825466671787	0.03899282595350405
gltV	0.5489825466671787	0.03899282595350405
gltU	0.5489825466671787	0.03899282595350405
nirB	0.41995195282982944	0.03899282595350405
ymfQ	0.5681005362870031	0.039836628549135014
paaI	0.4285103078627217	0.04022432262820304
tdcD	0.37854216840970345	0.0404877539582092
thiF	0.3727701631139506	0.04049522514803747
macA	0.4985800283608107	0.040520743382080705
rsmC	0.3963787282295704	0.04057083621481552
glnP	0.29715513599666865	0.04079636342919455
sspB	0.47831707255183586	0.04112658290245316
yceB	0.569629629587895	0.041726717008031655
uup	0.4828331784231947	0.041726717008031655
erpA	0.4792124358015865	0.04194874825594865
qor	0.5402022513272569	0.04235866679679025
pck	0.4253777727913122	0.042526505926662614
intR	0.6101078427545626	0.04260727539188139
lplT	0.45773517559168303	0.0427269020723038
yggS	0.41018565538100027	0.042961106951768864
ydfU	0.6384773989924529	0.04339433988031706
fliD	0.4460338745690956	0.04346053152913625
yffP	0.36351598700806387	0.04421434513989752
yohF	0.3352389234700022	0.04421434513989752
yjhG	0.46920593223338053	0.044556211116585705
purF	0.6815252417397785	0.044976941061109076
folD	0.39315998666828067	0.044976941061109076
ygaM	0.36217494189448207	0.0451127906722438
trmD	0.5960407702293856	0.045241239765678766
tfaX	0.35169503821952874	0.04563975653561927
yfcH	0.33737108309375036	0.045914919768457976
cyoB	0.46685407284650277	0.04591826386512161
rplV	0.5265186825904128	0.04619760279828688
yajO	0.5516475314086509	0.046330059166607165
nepI	0.6800110199083353	0.046330059166607165
ykfA	0.39832639567983175	0.046330059166607165
yhdP	0.47554457827773994	0.04750934576789256
moaC	0.4750085459487464	0.047521610660262156
ykgJ	0.4440506213501898	0.04761483080416433
surA	0.45147316060833287	0.04767807368305543
menB	0.3648904443464143	0.04767807368305543
prpD	0.42429434074049044	0.04792673954523244
fepD	0.45914422868818294	0.04815179443059619
hyaB	0.4284612700912462	0.04834014984802611
ydaS	0.48316612068049003	0.048654746277409316
yghQ	0.5115273623475859	0.048654746277409316
napG	0.45361898674956125	0.04990634196741359
fabB	0.40196731850840184	0.04991856460308136
clsB	0.4391259745375502	0.04991856460308136
cstA	0.5007201008389232	0.04991856460308136
